marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Renault,Clio,1.5 Dci Sporttourer Touch,2018 MODEL / CLIO S.TOURER TOUCH 1.5DCI 90BG EDC / 184.000KM / DİZEL - OTOMATİK VİTES,2018,184000,675000,İstanbul Esenyurt,data/processed_images/car_20250130_125123_page_3_idx_25.jpg
Skoda,Superb,1.5 Tsi Elite,2020 ÇIKIŞLI TÜRKİYE DE TEK BOL EKSTRA,2019,75000,1725000,İstanbul Ümraniye,data/processed_images/car_20250130_125123_page_3_idx_26.jpg
Tofaş,Doğan,L,SIFIR MUAYENELİ 92 MODEL 1.6 BENZİN LPG Lİ DOĞAN L,1992,236000,134999,Gaziantep Şehitkamil,data/processed_images/car_20250130_125123_page_3_idx_27.jpg
Peugeot,207,1.4 Hdi Premium,KURULU DÜZEN KOMPLE RC GÖRÜNÜM KOMİSYONSUZ KREDİ KARTI ÇEKİLİR,2007,320000,405000,Isparta Merkez,data/processed_images/car_20250130_125123_page_3_idx_28.jpg
Hyundai,Accent,1.3 Ls,Galeriden Hyundai Accent 1.3 LS 1999 Model Yozgat,1999,230000,160000,Yozgat Sarıkaya,data/processed_images/car_20250130_125123_page_3_idx_29.jpg
Ford,Fiesta,1.4 Tdci Comfort,"2007 MODEL, MAKYAJLI KASA, DÜŞÜK KM FİESTA!",2007,215000,370000,Mersin Yenişehir,data/processed_images/car_20250130_125123_page_3_idx_30.jpg
Mercedes-Benz,C,180 Blueefficiency Fascination,*BROCARS* MERCEDES C180 FASCİNATİON KUSURSUZ,2012,175000,1085000,Antalya Kepez,data/processed_images/car_20250130_125123_page_3_idx_31.jpg
Citroen,C3,1.4 Hdi Sx,Citroen C3 1.4 HDi SX 2005 Model Değişensiz Lokal Boyalı,2005,307000,315000,Ankara Yenimahalle,data/processed_images/car_20250130_125123_page_3_idx_32.jpg
Renault,Megane,1.3 Tce Joy,2021 MODEL ORJİNAL 100.000 KMDE MEGANE 1.3 TCe JOY OTOMATİK,2021,100000,958750,İstanbul Bağcılar,data/processed_images/car_20250130_125123_page_3_idx_33.jpg
Renault,Megane,1.5 Dci Icon,Galeriden Renault Megane 1.5 dCi Icon hatasız boyasız 2018 Model İstanbul,2018,199000,1100000,İstanbul Avcılar,data/processed_images/car_20250130_125123_page_3_idx_34.jpg
Opel,Insignia,1.6 Cdti Sport,Opel Insignia 1.6 CDTI Sport 2017 Model Hatasız Boyasız,2017,145000,1120000,Hatay Antakya,data/processed_images/car_20250130_125123_page_3_idx_35.jpg
Renault,Clio,1.0 Tce Evolution,SARSILMAZ'dan HATASIZ-BOYASIZ-%20 FATURALI-SRVİS BKMLI-12 TKST K,2023,30000,1029950,Ankara Akyurt,data/processed_images/car_20250130_125123_page_3_idx_36.jpg
Skoda,Superb,1.5 Tsi Prestige,2020 SKODA SÜBERB 1.5 TSİ ACT PRESTİGE DSG CAM TAVAN *105.000*KM,2020,105000,1685950,Antalya Muratpaşa,data/processed_images/car_20250130_125123_page_3_idx_37.jpg
Hyundai,Getz,1.3 Gls Style,Galeriden Hyundai Getz 1.3 GLS Style 2005 Model Aksaray,2005,232000,360000,Aksaray Ortaköy,data/processed_images/car_20250130_125123_page_3_idx_38.jpg
Dacia,Lodgy,1.5 Dci Laureate,DOĞAN OTOMOTIV’DEN DEĞIŞENSIZ YENİ KASA LODGY,2017,215000,650000,Muğla Seydikemer,data/processed_images/car_20250130_125123_page_3_idx_39.jpg
Toyota,Corolla,1.6 Premium,HATASIZ BOYASIZ BEJ DERİ DÖŞEMELİ COROLLA,2014,179500,865000,Aksaray Ortaköy,data/processed_images/car_20250130_125123_page_3_idx_40.jpg
Fiat,Egea,1.6 Multijet Urban Plus,BERKAYHAN//2020 EGEA HB 1.6MJET DEĞİŞENSİZ URBANPLUS FULL,2020,240000,720000,Ankara Akyurt,data/processed_images/car_20250130_125123_page_3_idx_41.jpg
Fiat,Egea,1.4 Fire Easy Plus,HATASIZ+BOYASIZ+2023+28.BİN KM+KREDİ KARTI TAKSİT,2023,28800,726750,Malatya Yeşilyurt,data/processed_images/car_20250130_125123_page_3_idx_43.jpg
Opel,Insignia,1.6 Cdti Cosmo,Sahibinden Opel Insignia 1.6 CDTI Cosmo 2016 Model,2016,145000,837000,Ankara Gölbaşı,data/processed_images/car_20250130_125123_page_3_idx_44.jpg
Opel,Corsa,1.4 Swing,1997 MODEL TEMİZ OPEL CORSA 1.4 SWİNG KLİMALI KARTA TAKSİT İMKANI,1997,360000,230000,Ankara Çubuk,data/processed_images/car_20250130_125123_page_3_idx_45.jpg
Opel,Corsa,1.4 Gls,Opel Corsa 1.4 GLS 1998 Model Konya,1998,260000,275000,Konya Kadınhanı,data/processed_images/car_20250130_125123_page_3_idx_46.jpg
Renault,Fluence,1.5 Dci Joy,TURAN OTOMOTİVDEN DEĞİŞENSİZ OTOMATİK 1.5 DİZEL / KARTA TAKSİT,2013,237000,579500,Ankara Sincan,data/processed_images/car_20250130_125123_page_3_idx_47.jpg
Renault,Megane,1.3 Tce Touch,KOCASLANLAR2- RENAULT MEGANE 1.3 TCE EDC 140 BG TOUCH 2023,2023,44000,1254900,Bursa Osmangazi,data/processed_images/car_20250130_125123_page_3_idx_48.jpg
Fiat,Siena,1.4 El,TERTEMİZ 1.4 EL KLİMALI SİENA MASRAFSIZ,2000,269000,233500,Ankara Mamak,data/processed_images/car_20250130_125123_page_3_idx_49.jpg
Fiat,Panda,1.2 Dynamic,2005 FIAT PANDA 1.2 DYNAMIC SADECE 61.000KM'DE,2005,61000,355000,Çorum Merkez,data/processed_images/car_20250130_125124_page_4_idx_0.jpg
Volkswagen,Jetta,1.6 Tdi Highline,BOYASIZ 2014 MODEL/1.6 TDİ/HİGHLİNE/SUNROOF/XENON/LED/K.AYNA/,2014,150000,985000,Manisa Akhisar,data/processed_images/car_20250130_125124_page_4_idx_1.jpg
Toyota,Auris,1.6 Advance Skypack,2013 HATASIZ BOYASIZ TOYOTA AURIS 1.6 ADVANCE SKYPACK,2013,119000,955000,Çorum Merkez,data/processed_images/car_20250130_125124_page_4_idx_2.jpg
Renault,Fluence,1.5 Dci Touch Plus,2013 MODEL FLUENCE TOUCH PLUS CAM GİBİ,2013,247000,595000,Şanlıurfa Suruç,data/processed_images/car_20250130_125124_page_4_idx_3.jpg
Ford,Focus,1.5 Tdci Style,Sahibinden Ford Focus 1.5 TDCi Style 2015 Model,2015,238000,725000,Ankara Pursaklar,data/processed_images/car_20250130_125124_page_4_idx_4.jpg
Skoda,Octavia,1.6 Tdi Ambition,Sahibinden Skoda Octavia 1.6 TDI Ambition 2016 Model 215.000 km Beyaz,2016,215000,730000,İstanbul Ataşehir,data/processed_images/car_20250130_125124_page_4_idx_5.jpg
Opel,Corsa-E,Ultimate,DURMAZLARDAN-HATASIZ- DEĞİŞENSİZ- ULTİMATE-CAM TAVAN-% 20 KDV..!,2023,-,979000,İstanbul Ümraniye,data/processed_images/car_20250130_125124_page_4_idx_6.jpg
Renault,Megane,1.5 Dci Touch,HATASIZ OTOMATİK TERTEMİZ,2017,200000,865000,Adana Seyhan,data/processed_images/car_20250130_125124_page_4_idx_7.jpg
Toyota,Auris,1.6 Advance,2015 AURİS 1.6-ORJİNAL-DÜŞÜK KM-OTOMATİK-24 AY TAKSİT-,2015,163000,859750,Bolu Merkez,data/processed_images/car_20250130_125124_page_4_idx_8.jpg
Lada,Vega,1.5,ORJ.174.000KM-DEĞİŞENSİZ-TRAMERSİZ-1.5 16V MOTOR-MUAYENE VE BAKIM YENİ-MERCEK FARLAR,2005,174108,220000,Kocaeli Darıca,data/processed_images/car_20250130_125124_page_4_idx_9.jpg
Fiat,Linea,1.3 Multijet Active Plus,FİAT LİNEA 1.3 MULTİJET DİZEL MULTİMEDYALI,2012,336000,395000,İstanbul Bayrampaşa,data/processed_images/car_20250130_125124_page_4_idx_10.jpg
Honda,Civic,1.5 I-Vtec Elegance,CIVIC-TURBO 182 HP 2021 MAKYAJLI ORJINAL BOYASIZ,2021,119979,1360000,İzmir Bayındır,data/processed_images/car_20250130_125124_page_4_idx_11.jpg
Honda,Civic,1.6 I-Vtec Elegance,CIVIC-ORJİNAL BOYASIZ MAKYAJLI KASA İLK ELDEN,2021,105682,1285000,İzmir Bayındır,data/processed_images/car_20250130_125124_page_4_idx_12.jpg
Renault,Fluence,1.5 Dci Touch Plus,DİZEL OTOMATİK FLUENCE 1.5 DCİ 110 PS,2013,192000,615000,İstanbul Bayrampaşa,data/processed_images/car_20250130_125124_page_4_idx_13.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Comfortline,Galeriden Volkswagen Passat 1.6 TDi BlueMotion Comfortline 2016 Model Ankara,2016,191000,1490000,Ankara Kızılcahamam,data/processed_images/car_20250130_125124_page_4_idx_14.jpg
Toyota,Corolla,1.3 Xl,boncuk Toyota Corolla 1.3 XL 1993 Model Kocaeli,1993,290000,234900,Kocaeli Körfez,data/processed_images/car_20250130_125124_page_4_idx_15.jpg
Volkswagen,Polo,1.6 Tdi Comfortline,MAS MOTORS OTOMATİK CAM TAVAN POLO,2013,173000,800000,Diyarbakır Kayapınar,data/processed_images/car_20250130_125124_page_4_idx_16.jpg
Volkswagen,Golf,1.6 Tdi Bluemotion Comfortline,Galeriden Volkswagen Golf 1.6 TDi BlueMotion Comfortline 2019 Model Gaziantep,2019,208000,1100000,Gaziantep Şehitkamil,data/processed_images/car_20250130_125124_page_4_idx_17.jpg
Mercedes-Benz,C,180 Sport,1995 C 180 Esprit Masrafsız,1995,480000,429000,Bursa İnegöl,data/processed_images/car_20250130_125124_page_4_idx_18.jpg
Peugeot,508,1.6 Bluehdi Access,Sahibinden Peugeot 508 1.6 BlueHDi Access 2015 Model,2015,230650,847500,Gaziantep Şahinbey,data/processed_images/car_20250130_125124_page_4_idx_19.jpg
Renault,Latitude,1.5 Dci Privilege,Galeriden Renault Latitude 1.5 dCi Privilege 2011 Model Samsun,2011,265000,595000,Samsun Vezirköprü,data/processed_images/car_20250130_125124_page_4_idx_20.jpg
Mercedes-Benz,C,180 Kompressor Blueefficiency Luxury,MERCEDES C180 KOMP. LUXURY 2010 DEĞİŞENSİZ 210 000KMDE,2010,210000,850000,Adana Seyhan,data/processed_images/car_20250130_125124_page_4_idx_21.jpg
Toyota,Auris,1.4 D-4D Comfort Extra,Galeriden Toyota Auris 1.4 D-4D Comfort Extra 2012 Model Ankara,2012,159000,729000,Ankara Mamak,data/processed_images/car_20250130_125124_page_4_idx_22.jpg
Hyundai,I30,1.6 Crdi Elite,Sahibinden hatasız boyasız,2015,155000,920000,Antalya Manavgat,data/processed_images/car_20250130_125124_page_4_idx_23.jpg
Renault,Clio,1.5 Dci Touch,SAHIBINDEN BAKIMLI CLİO TOUCH,2017,126000,705000,Antalya Manavgat,data/processed_images/car_20250130_125124_page_4_idx_24.jpg
Renault,R,9 1.4 Broadway Rn,Galeriden Renault R 9 1.4 Broadway RN 1997 Model Isparta,1997,6666,237000,Isparta Şarkikaraağaç,data/processed_images/car_20250130_125124_page_4_idx_25.jpg
Renault,Fluence,1.5 Dci Touch,Sahibinden Renault Fluence 1.5 dCi Touch 2015 Model,2015,336000,495500,İstanbul Başakşehir,data/processed_images/car_20250130_125124_page_4_idx_26.jpg
Peugeot,301,1.6 Bluehdi Active,MCT MOTORS'DAN 2018 PEUGEOT 301 ACTİVE 147.000 KM DEĞİŞENSİZ,2018,147000,575000,Ankara Altındağ,data/processed_images/car_20250130_125124_page_4_idx_27.jpg
Toyota,Corolla,1.5 Dream,ERİS OTOMOTİVDEN 2024 TOYOTA COROLLA 1.5 DREAM HATASIZ 18.400 KM,2024,18400,1365000,Bursa Nilüfer,data/processed_images/car_20250130_125124_page_4_idx_28.jpg
Audi,A3,Sedan 35 Tfsi Advanced,RAMAZAN'DAN 2022 MODEL AUDİ 35 TFSI ADVANCED,2022,49000,1829999,Hatay Antakya,data/processed_images/car_20250130_125124_page_4_idx_29.jpg
Ford,Focus,1.5 Tdci Titanium,2020 MODEL 148.000 KM HATASIZ ÇİZİKSİZ SERVİS BAKIMLI FORD FOCUS,2020,148000,1130000,Niğde Merkez,data/processed_images/car_20250130_125124_page_4_idx_30.jpg
Fiat,Tempra,1.6 Sx,ELDEN TAKSIT Fiat Tempra 1.6 SX 1992 Model Kayseri,1991,230000,169900,Kayseri Kocasinan,data/processed_images/car_20250130_125124_page_4_idx_31.jpg
Renault,Megane,1.5 Dci Extreme,Galeriden Renault Megane 1.5 dCi Extreme 2008 Model Antalya,2008,303000,435000,Antalya Serik,data/processed_images/car_20250130_125124_page_4_idx_32.jpg
Renault,Megane,1.6 Authentique,2008 MODEL 1.6 16 VALF BENZİN LPG'Lİ SIRALI SİSTEM DEGİSEN YOK KM:400.000 MOTOR YAPILDI Authentique Paket - KAPORTA DURUMU - TAVAN HARİC BOYALI,2008,404000,318500,Denizli Honaz,data/processed_images/car_20250130_125124_page_4_idx_33.jpg
Volkswagen,Golf,1.6 Trendline,TÜRKİYE DE TEK EMSALSİZ TEMİZLİK 2011 VW GOLF DSG 150BİN KM,2011,150000,749000,Niğde Merkez,data/processed_images/car_20250130_125124_page_4_idx_34.jpg
Toyota,Corolla,1.6 Advance,ATC motors - 2017 TOYOTA COROLLA 1.6 ADVANCE OTOMATİK + LPG,2017,173000,795000,Diyarbakır Bağlar,data/processed_images/car_20250130_125124_page_4_idx_35.jpg
Ford,Fiesta,1.4 Tdci Comfort,2008 MODEL FORD FİESTA 1.4 TDCI DİZEL 248.000 BİN KM DE,2008,248444,325000,Antalya Alanya,data/processed_images/car_20250130_125124_page_4_idx_36.jpg
Mercedes-Benz,C,180 Fascination,2014 MODEL C180 FASCİNATİON 7G-TRONİC HATASIZ SERVİS BAKIMLI,2014,240000,1345000,İzmir Gaziemir,data/processed_images/car_20250130_125124_page_4_idx_37.jpg
Mazda,2,1.5 Go,"MERSER MAZA'DAN DÜŞÜK KM'Lİ MAZDA2 1,5 GO",2012,22055,670000,İstanbul Kadıköy,data/processed_images/car_20250130_125124_page_4_idx_38.jpg
Skoda,Octavia,1.6 Tdi Style,HATASIZ-BOYASIZ-2016 OCTAVIA 1.6 TDI OTOMATİK VİTES-147.000KM'DE,2016,147000,1100000,Konya Ereğli,data/processed_images/car_20250130_125124_page_4_idx_39.jpg
Renault,Fluence,1.6 Icon,MAYCAR DAN RENAULT FLUENCE 1.6 BENZİN İCON OTOMATİK DEĞİŞENSİZ,2013,164000,715000,Bursa Osmangazi,data/processed_images/car_20250130_125124_page_4_idx_40.jpg
Peugeot,307,1.4 Hdi Xr,Galeriden Peugeot 307 1.4 HDi XR 2004 Model Kayseri,2004,270000,237500,Kayseri Kocasinan,data/processed_images/car_20250130_125124_page_4_idx_41.jpg
Fiat,Punto,1.4 Easy S&S,Galeriden Fiat Punto 1.4 Easy S&S 2012 Model Tekirdağ,2012,178000,455000,Tekirdağ Süleymanpaşa,data/processed_images/car_20250130_125124_page_4_idx_42.jpg
Peugeot,301,1.5 Bluehdi Allure,Galeriden Peugeot 301 1.5 BlueHDI Allure 2019 Model Gaziantep,2019,190000,595000,Gaziantep Şehitkamil,data/processed_images/car_20250130_125124_page_4_idx_43.jpg
Dacia,Lodgy,1.5 Dci Laureate,DACİA LODGY (7 KİŞİLİK),2017,150500,665000,Manisa Yunusemre,data/processed_images/car_20250130_125124_page_4_idx_44.jpg
Bmw,3 Serisi,320I Ed Luxury Line,BMW 320i ED Luxury Line 2016 Model,2016,149000,1280000,Manisa Yunusemre,data/processed_images/car_20250130_125124_page_4_idx_45.jpg
Bmw,4 Serisi,420D Xdrive Gran Coupe Luxury Line,SAHİBİNDEN BMW 4 Serisi 420d xDrive Gran Coupe Luxury Line,2014,190000,1600000,Manisa Şehzadeler,data/processed_images/car_20250130_125124_page_4_idx_46.jpg
Opel,Astra,1.6 Cdti Design,Galeriden Opel Astra 1.6 CDTI Design 2016 Model İstanbul,2016,209000,720000,İstanbul Sultangazi,data/processed_images/car_20250130_125124_page_4_idx_47.jpg
Renault,Clio,1.4 Rta,Galeriden Renault Clio 1.4 RTA 1998 Model Ankara,1998,225000,235000,Ankara Mamak,data/processed_images/car_20250130_125124_page_4_idx_48.jpg
Chevrolet,Aveo,1.2 S,FIRSAT ARACI Düşük km’li Chevrolet Aveo 1.2 S 2008 Model,2008,106000,259000,Osmaniye Merkez,data/processed_images/car_20250130_125124_page_4_idx_49.jpg
Volkswagen,Golf,1.4 Tsi Comfortline,Galeriden Volkswagen Golf 1.4 TSi Comfortline 2009 Model İstanbul,2009,287000,499000,İstanbul Sancaktepe,data/processed_images/car_20250130_125139_page_5_idx_0.jpg
Ford,Escort,1.6 Clx,1998 FORD ESCORT 1.6 HİDROLİK DİREKSİYON-KLİMA,1998,255000,235000,Kayseri Melikgazi,data/processed_images/car_20250130_125139_page_5_idx_1.jpg
Ford,Focus,1.6 Tdci Trend X,2016 FORD FOCUS 1.6 TDCİ TRENDX 165.XXX KM K.KARTINA 12 TAK.,2016,165000,810000,Tokat Merkez,data/processed_images/car_20250130_125139_page_5_idx_2.jpg
Nissan,Micra,1.2 Tekna,Sadece 30b km de 2022 MİCRA TECNA otomatik,2022,30000,975000,Zonguldak Ereğli,data/processed_images/car_20250130_125139_page_5_idx_3.jpg
Hyundai,Accent,Era 1.5 Crdi-Vgt Team,2011-1.5 DİZEL-194 BİNDE EMLSASİZ TEMİZLİKTE,2011,194750,449500,Kocaeli Çayırova,data/processed_images/car_20250130_125139_page_5_idx_4.jpg
Fiat,Egea,1.3 Multijet Urban,Galeriden Fiat Egea 1.3 Multijet Urban 2023 Model İstanbul,2023,37000,909000,İstanbul Sancaktepe,data/processed_images/car_20250130_125139_page_5_idx_5.jpg
Fiat,Egea,1.3 Multijet Easy Plus,2022 ÇIKIŞLI-FİAT EGEA EASY PLUS-99 BİN KM-GARANTİLİ,2021,99000,709850,İstanbul Pendik,data/processed_images/car_20250130_125139_page_5_idx_6.jpg
Mercedes-Benz,B,150 Prestige,Galeriden Mercedes - Benz B 150 Prestige 2008 Model İzmir,2008,135000,725000,İzmir Urla,data/processed_images/car_20250130_125139_page_5_idx_7.jpg
Toyota,Corolla,1.6 Terra,2001 MODEL TOYOTA COROLLA 1.6 TERRA 217.000 KMDE,2001,217000,379000,Kayseri Kocasinan,data/processed_images/car_20250130_125139_page_5_idx_8.jpg
Renault,Taliant,1.0 Tce Joy,2023+ÇIKIŞLI+BOYASIZ+4 CAM OTO+SİS FARI+TESLA EKRAN+GERI GÖRÜŞ,2022,70000,769500,İstanbul Kadıköy,data/processed_images/car_20250130_125139_page_5_idx_9.jpg
Mercedes-Benz,C,180 Amg,Galeriden Mercedes - Benz C 180 AMG 2016 Model Ankara,2016,91000,1900000,Ankara Etimesgut,data/processed_images/car_20250130_125139_page_5_idx_10.jpg
Honda,Civic,1.6 I-Vtec Eco Elegance,Galeriden Honda Civic 1.6 i-VTEC ECO Elegance 2017 Model Ankara,2017,162000,1050000,Ankara Etimesgut,data/processed_images/car_20250130_125139_page_5_idx_11.jpg
Hyundai,I30,1.6 Crdi Elite,Galeriden Hyundai i30 1.6 CRDi Elite 2013 Model Ankara,2013,244000,675000,Ankara Etimesgut,data/processed_images/car_20250130_125139_page_5_idx_12.jpg
Ford,Focus,1.5 Tdci Trend X,KUMRU OTOMOTİV'DEN 2020 FORD FOCUS 1.5 EcoBlue 120 HP TREND X,2020,68000,1240000,Kayseri Melikgazi,data/processed_images/car_20250130_125139_page_5_idx_13.jpg
Fiat,Tempra,1.6 Sx Ak,Fiat Tempra 1.6 SX AK 1994 Model KLİMALI,1994,165000,195000,Muğla Fethiye,data/processed_images/car_20250130_125139_page_5_idx_14.jpg
Volkswagen,Golf,1.6 Tdi Bluemotion Highline,Galeriden Volkswagen Golf 1.6 TDi BlueMotion Highline 2018 Model Şanlıurfa,2018,181500,1235000,Şanlıurfa Siverek,data/processed_images/car_20250130_125139_page_5_idx_15.jpg
Ford,C-Max,1.6 Tdci Trend,İLK SAHİBİNDEN TR`DE TEK 69.000KM,2015,69350,910000,Kayseri Melikgazi,data/processed_images/car_20250130_125139_page_5_idx_16.jpg
Ford,Focus,1.6 Tdci Trend X,HATASIZ/BOYASIZ DÜŞÜK KM Lİ 1.6 TDCİ FORD FOCUS TREN-X,2015,161000,835000,Adıyaman Merkez,data/processed_images/car_20250130_125139_page_5_idx_17.jpg
Volkswagen,Golf,1.2 Tsi Comfortline,*ONLİNE CARS* 2013 KURULU DÜZEN GOLF 7.5 R-LİNE GÖRÜNÜM - DİKKAT ÇEKİCİ !!!,2013,200000,779000,Nevşehir Gülşehir,data/processed_images/car_20250130_125139_page_5_idx_18.jpg
Toyota,Corolla,1.4 D-4D Comfort,AZİZOĞLU PLAZA OTOMOTİVDEN ORİJİNAL OTOMATİK COROLLA,2009,130000,699000,Eskişehir Odunpazarı,data/processed_images/car_20250130_125139_page_5_idx_19.jpg
Hyundai,I20,1.4 Mpi Style,2023 ÇIKIŞLI İ20 OTOMATİK 30 BİN KM STYLE PAKET HATASIZ BOYASIZ PRİNS LPG’Lİ,2022,30000,1035000,Eskişehir Tepebaşı,data/processed_images/car_20250130_125139_page_5_idx_20.jpg
Fiat,Egea,1.3 Multijet Easy,Galeriden Fiat Egea 1.3 Multijet Easy 2020 Model İstanbul,2020,180000,645000,İstanbul Maltepe,data/processed_images/car_20250130_125139_page_5_idx_21.jpg
Mercedes-Benz,E,200 Avantgarde,Galeriden Mercedes - Benz E 200 Avantgarde 1997 Model Kayseri,1997,610000,388000,Kayseri Kocasinan,data/processed_images/car_20250130_125139_page_5_idx_22.jpg
Volkswagen,Golf,1.5 Tsi Comfortline,Volkswagen Golf 1.5 TSi Comfortline 2019 Model Değişensiz,2019,60700,1199000,İstanbul Sancaktepe,data/processed_images/car_20250130_125139_page_5_idx_23.jpg
Bmw,1 Serisi,116D Premium Line,BMW 1 Serisi 116d Premium Line 2017 Model,2017,135000,999000,Manisa Yunusemre,data/processed_images/car_20250130_125139_page_5_idx_24.jpg
Audi,A6,Sedan 2.0 Tdi,ARAÇ TAKASINA AÇIK-154 BIN'DE,2015,154500,2075000,Tokat Erbaa,data/processed_images/car_20250130_125139_page_5_idx_25.jpg
Renault,Megane,1.5 Blue Dci Joy,2021 ÇIKIŞLI*DEĞİŞENSİZ*BOYASIZ*TRAMERSİZ*FUL YETKİLİ SERVİSLİ,2020,100000,1095000,Kocaeli Başiskele,data/processed_images/car_20250130_125139_page_5_idx_26.jpg
Renault,Symbol,1.5 Dci Touch,BERKAYHAN//3AY SONRA ÖDE/2017 SYMBOL TOUCH 1.5 DCİ/ 88.000 KM,2017,88000,590000,Ankara Akyurt,data/processed_images/car_20250130_125139_page_5_idx_27.jpg
Peugeot,308,1.5 Bluehdi Style,BERKAYHAN//ŞİMDİ AL 3AY SONRA ÖDE//2020 MODEL 308 CAMTAVANLI,2020,125000,955000,Ankara Akyurt,data/processed_images/car_20250130_125139_page_5_idx_28.jpg
Mercedes-Benz,C,180 Kompressor Blueefficiency Amg,Galeriden Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG 2012 Model Ankara,2012,168000,1259000,Ankara Keçiören,data/processed_images/car_20250130_125139_page_5_idx_29.jpg
Fiat,Linea,1.3 Multijet Emotion Plus,FİAT LINEA 1.3 MJET EMOTİON PLUS 2012-230.000km BAKIMLI,2012,230000,417750,İstanbul Esenyurt,data/processed_images/car_20250130_125139_page_5_idx_30.jpg
Hyundai,Accent,Era 1.6 Select,Galeriden Hyundai Accent Era 1.6 Select 2009 Model Ankara,2009,290000,514500,Ankara Yenimahalle,data/processed_images/car_20250130_125139_page_5_idx_31.jpg
Renault,Fluence,1.5 Dci Icon,BERKAY OTOMOTİV RENAULT FLUENCE 1.5 DCi ICON DEĞİŞENSİZ EMSALSİZ,2016,187000,698000,Bursa Gemlik,data/processed_images/car_20250130_125139_page_5_idx_32.jpg
Renault,Clio,1.0 Tce Touch,2021 MODEL RENAULT CLİO 1.0 TCE TOUCH X-TRONİC 90 HP,2021,75000,740000,Hatay İskenderun,data/processed_images/car_20250130_125139_page_5_idx_33.jpg
Renault,Megane,1.6 Rxt,Galeriden Renault Megane 1.6 RXT 2000 Model Ankara,2000,180000,359000,Ankara Sincan,data/processed_images/car_20250130_125139_page_5_idx_34.jpg
Hyundai,I20,1.4 Mpi Style,2017 HYUNDAi i20 1.4 BENZiN STYLE iLK ELDEN OTOMATiK 48.000'KM,2017,48000,798750,Kocaeli Gölcük,data/processed_images/car_20250130_125139_page_5_idx_35.jpg
Fiat,Egea,1.4 Fire Easy,2017 FiAT EGEA 1.4 BENZiN 95hp 6 iLERi iLK ELDEN,2017,142000,598750,Kocaeli Gölcük,data/processed_images/car_20250130_125139_page_5_idx_36.jpg
Renault,R,9 1.4 Broadway Rn,Galeriden Renault R 9 1.4 Broadway RN 1998 Model İstanbul,1998,264000,225750,İstanbul Eyüpsultan,data/processed_images/car_20250130_125139_page_5_idx_37.jpg
Hyundai,I20,1.4 Crdi Jump,EGE MOTORS/2018/HYUNDAİ İ20/1.4CRDİ/JUMP/EMSALSİZ/TEMİZLİKTE,2018,175000,625000,İstanbul Kartal,data/processed_images/car_20250130_125139_page_5_idx_38.jpg
Fiat,Punto,Grande 1.3 Multijet Active,BERKAY OTOMOTİV FIAT PUNTO GRANDE 1.3 MULTİJET DEĞİŞENSİZ,2009,199000,385000,Bursa Gemlik,data/processed_images/car_20250130_125139_page_5_idx_39.jpg
Opel,Vectra,1.6 Comfort,Opel Vectra C,2003,169000,450000,Trabzon Ortahisar,data/processed_images/car_20250130_125139_page_5_idx_40.jpg
Hyundai,I20,1.4 Mpi Style,EGE MOTORS/2021/HYUNDAİ İ20/1.4/STYLE/OTOMATİK/YETKİLİ BAKIMLI,2021,90000,919000,İstanbul Kartal,data/processed_images/car_20250130_125139_page_5_idx_41.jpg
Renault,Clio,1.5 Dci Gt Line,EGE MOTORS/2016/RENAULT CLİO/ 1.5DCİ/ OTOMATİK/ GT LİNE/ HATASIZ,2016,166000,798000,İstanbul Kartal,data/processed_images/car_20250130_125139_page_5_idx_42.jpg
Honda,Civic,1.5 I-Vtec Executive Plus,2023 KIRMIZI HONDA CİVİC 1.5 VTEC EXECUTİVE PLUS HATASIZ BOYASIZ,2023,22000,1759000,Antalya Kepez,data/processed_images/car_20250130_125139_page_5_idx_43.jpg
Bmw,1 Serisi,116I M Sport,MVS Motors / 2017 BMW 1.16d M Sport / Sunroof / Hayalet,2017,1270000,1335000,Ankara Yenimahalle,data/processed_images/car_20250130_125139_page_5_idx_44.jpg
Citroen,C-Elysee,1.5 Bluehdi Feel,2020 115 km Hatasız boyasız C-Elysee,2020,115000,675000,İstanbul Başakşehir,data/processed_images/car_20250130_125139_page_5_idx_45.jpg
